Time,theta 1,theta 2,w 1,w 2,a 1,a 2
0,-0.212851229,-0.461177305,-0.425064714,-2.68999065,0.012311045,-67.75114492
0.007,-0.215936354,-0.476757172,-0.440732022,-2.225695355,-2.611217931,77.38254903
0.013,-0.218262192,-0.494070958,-0.3322626,-2.473397964,15.49563169,-35.38608693
0.02,-0.219406093,-0.51145657,-0.190650233,-2.897601986,20.23033823,-60.60057463
0.027,-0.220331745,-0.529082906,-0.132235948,-2.518047997,9.735714073,63.25899821
0.033,-0.219770913,-0.545945158,0.080118792,-2.408893179,30.33639143,15.59354544
0.04,-0.218468108,-0.56394832,0.217134243,-3.000526957,19.57363585,-84.5191112
0.047,-0.215858011,-0.58286959,0.372870943,-2.703038503,25.9561167,49.58140905
0.053,-0.210970607,-0.602363267,0.698200552,-2.784810997,46.47565841,-11.68178481
0.06,-0.203666527,-0.623619273,1.217346778,-3.542667742,74.16374664,-108.2652493
0.067,-0.195131531,-0.644530632,1.219285135,-2.987336997,0.323059411,92.55512415
0.073,-0.184688017,-0.665385166,1.491930523,-2.979219155,38.94934118,1.159691644
0.08,-0.172893471,-0.686904903,1.965757703,-3.586622772,67.68959711,-86.77194529
0.087,-0.159959196,-0.708831696,1.847753538,-3.132398971,-19.66736077,75.70396686
0.093,-0.145861207,-0.73248619,2.013998487,-3.379213543,23.7492784,-35.25922462
0.1,-0.130352021,-0.760069343,2.58486421,-4.597192025,81.55224616,-173.9969259
0.107,-0.113676503,-0.78730861,2.382216936,-3.891323989,-33.77454571,117.6446726
0.113,-0.096164781,-0.813859253,2.501674566,-3.792948955,17.06537568,14.05357629
0.12,-0.078029946,-0.838801498,3.022472549,-4.157040847,74.39971192,-52.0131274
0.127,-0.059515709,-0.862171877,2.644890985,-3.338625561,-62.93026071,136.4025475
0.133,-0.040190706,-0.884125038,2.760714621,-3.136165856,16.54623367,28.92281499
0.14,-0.02125016,-0.903958012,3.156757715,-3.305495613,56.57758491,-24.18996526
0.147,-0.00375708,-0.921342821,2.499011395,-2.483544142,-109.6243866,136.9919118
0.153,0.016490189,-0.93840107,2.892467086,-2.436892808,56.20795587,6.664476364
0.16,0.033432112,-0.951485381,2.823653713,-2.180718467,-9.830481874,36.59633435
0.167,0.051957121,-0.962712865,2.646429897,-1.603926289,-29.53730275,96.13202967
0.173,0.07011562,-0.971152781,2.594071337,-1.205702262,-7.479794271,56.88914671
0.18,0.088341465,-0.976224418,3.037640728,-0.845272762,63.36705595,51.48992858
0.187,0.106282684,-0.979013749,2.563031301,-0.398475964,-79.1015712,74.46613309
0.193,0.123935409,-0.979810264,2.521817915,-0.113787818,-5.887626581,40.66973514
0.2,0.141725756,-0.978253558,2.965057795,0.259451085,63.31998279,53.31984323
0.207,0.159531998,-0.976099129,2.54374886,0.307775503,-70.21815574,8.054069704
0.213,0.176800965,-0.971647199,2.466995333,0.635990083,-10.96478957,46.88779706
0.22,0.194287556,-0.965657805,2.914431829,0.99823219,63.91949933,51.74887243
0.227,0.211070524,-0.957655402,2.397566878,1.143200481,-86.14415843,24.16138184
0.233,0.228828296,-0.949256369,2.536824531,1.199861904,19.8939504,8.094489047
0.24,0.245597117,-0.938452821,2.79480356,1.800591351,36.85414709,85.81849238
0.247,0.262089986,-0.926440811,2.356124119,1.716001335,-73.11324017,-14.09833591
0.253,0.276080054,-0.91295696,1.99858108,1.926264494,-51.07757699,30.03759406
0.26,0.291633443,-0.898339714,2.592231495,2.436207632,84.80720201,72.84901982
0.267,0.305520174,-0.881441862,1.983818821,2.413978852,-101.4021122,-3.704796666
0.273,0.319287335,-0.862688359,1.96673726,2.679071806,-2.440223012,37.870422
0.28,0.332140421,-0.842318699,2.142180986,3.39494345,25.06338942,102.2673776
0.287,0.346177478,-0.820494643,2.005293849,3.1177223,-22.8145229,-46.20352496
0.293,0.35858638,-0.797334636,1.772700281,3.308572404,-33.22765257,27.26430057
0.3,0.370019554,-0.772664662,1.905528943,4.111662225,18.97552319,114.7271172
0.307,0.381566883,-0.747131465,1.64961847,3.647599586,-42.65174547,-77.34377304
0.313,0.392430484,-0.720042302,1.551942976,3.869880478,-13.95364204,31.75441309
0.32,0.402045269,-0.691260326,1.602464146,4.796995925,7.217309932,132.4450639
0.327,0.411982977,-0.661625049,1.419672615,4.233610992,-30.46525509,-93.89748892
0.333,0.42105404,-0.631090946,1.295866199,4.362014825,-17.68663093,18.34340468
0.34,0.43034864,-0.599217373,1.549099863,5.312262176,36.17623771,135.7496216
0.347,0.437588443,-0.566237139,1.034257662,4.711461939,-85.80703341,-100.1333727
0.353,0.4447081,-0.531664797,1.017093869,4.938906079,-2.451970441,32.4920199
0.36,0.451339988,-0.49667032,1.105314624,5.832412828,12.60296501,127.6438214
0.367,0.45670034,-0.460119402,0.765764615,5.221559662,-56.59166816,-101.8088611
0.373,0.461801316,-0.422324051,0.728710806,5.399335893,-5.293401218,25.3966045
0.38,0.465225964,-0.383538047,0.570774576,6.464334017,-22.5623187,152.1425891
0.387,0.466241942,-0.343518873,0.145139767,5.717024729,-70.93913479,-124.5515481
0.393,0.468243965,-0.303730765,0.28600336,5.684015498,20.12337051,-4.715604341
0.4,0.469092038,-0.263363137,0.141345467,6.727937931,-20.66541338,149.1317761
0.407,0.468329691,-0.222103322,-0.108906692,5.894259292,-41.70869309,-138.9464397
0.413,0.468035798,-0.180810926,-0.041984772,5.898913759,9.560274208,0.664923875
0.42,0.466285625,-0.138755327,-0.291695496,7.009266506,-35.67296046,158.6218209
0.427,0.464066502,-0.096909009,-0.31701751,5.978045476,-4.220335764,-171.8701716
0.433,0.460495785,-0.054960981,-0.510102526,5.992575334,-27.58357365,2.075694016
0.44,0.456105565,-0.012328216,-0.731703255,7.105460812,-31.65724706,158.9836396
0.447,0.450669713,0.029793721,-0.776550272,6.017419635,-7.474502759,-181.3401962
0.453,0.445633517,0.072276359,-0.719456568,6.068948235,8.156243377,7.361228647
0.46,0.4386963,0.113581207,-1.156202861,6.884141445,-62.3923275,116.4561728
0.467,0.43024525,0.154034158,-1.20729293,5.778992888,-8.515011587,-184.1914261
0.473,0.421399892,0.192694328,-1.26362251,5.522881433,-8.04708287,-36.58735069
0.48,0.412516901,0.22839152,-1.48049848,5.949532121,-30.98228141,60.95009822
0.487,0.404306033,0.260868164,-1.172981207,4.639520521,51.25287883,-218.3352666
0.493,0.396312165,0.289737022,-1.141981137,4.124122639,4.428581426,-73.62826879
0.5,0.389400695,0.315214798,-1.151911584,4.246295921,-1.41863523,17.45332594
0.507,0.38339215,0.33527493,-0.858363683,2.865733155,48.92465016,-230.0937944
